machine_id,brand,power_hp,production_year,age_at_event,hours_at_event,failure_time,event_flag,failure_system,major_failure_flag,repair_cost,downtime_hours,peak_load_proxy,weather_instrument,climate,soil,region,campaign
M_1001,MTZ82,69.2,2018,7.19,315.6,387.6,1,электроника,0,46545.14,6.8,1.0,64.27,0.788,0.4024,kuban,harvest
M_1002,MTZ82,86.3,2019,6.05,32.8,35.1,1,электроника,0,41533.23,19.0,0.8243,46.68,0.6458,0.2536,altai,harvest
M_1003,MTZ82,100.9,2021,4.5,228.4,266.1,1,гидравлика,1,38916.92,8.4,0.7499,45.22,0.6694,0.6025,vladimir,sowing
M_1004,MTZ82,56.3,2021,4.77,496.0,561.7,1,электроника,0,32474.89,46.1,0.7327,61.35,0.4176,0.3185,volga,harvest
M_1005,MTZ82,83.8,2019,6.31,1593.3,1983.2,1,гидравлика,0,30969.25,1.6,0.9506,35.43,0.7153,0.5331,volga,sowing
M_1006,MTZ82,98.0,2017,8.7,1353.7,1432.0,1,электроника,0,23022.02,46.7,1.0,49.9,0.7206,0.5113,northwest,harvest
M_1007,MTZ82,90.4,2021,4.46,386.6,475.7,1,электроника,0,14379.37,2.0,0.9586,35.51,0.7522,0.3417,amur,sowing
M_1008,MTZ82,96.3,2021,4.86,709.3,812.0,1,электроника,0,23524.52,3.6,0.9161,49.83,0.3793,0.1935,central_chernozem,harvest
M_1009,MTZ82,95.6,2022,3.25,243.0,297.7,1,гидравлика,0,74991.94,29.0,0.9089,53.77,0.1631,0.4381,kuban,harvest
M_1010,MTZ82,65.5,2024,1.36,148.2,162.4,1,двигатель,1,355124.4,9.1,0.4593,40.3,0.6481,0.4004,amur,harvest
M_1011,MTZ82,82.3,2023,2.23,132.8,160.1,1,гидравлика,0,38677.9,62.1,0.8012,41.15,0.6209,0.5644,northwest,sowing
M_1012,MTZ82,108.3,2018,7.43,1899.7,2320.7,1,гидравлика,1,67252.8,15.6,0.89,59.38,0.4817,0.4431,kuban,harvest
M_1013,MTZ82,127.5,2017,8.73,198.1,227.6,1,гидравлика,0,28812.86,46.3,1.0,52.02,0.8829,0.498,altai,harvest
M_1014,MTZ82,64.3,2023,2.98,222.1,272.3,1,электроника,1,33692.74,7.6,0.5653,35.3,0.8735,0.6349,vladimir,sowing
M_1015,MTZ82,99.4,2024,1.43,381.4,499.5,0,прочее,0,0.0,0.0,0.7309,46.75,0.5437,0.7908,vladimir,harvest
M_1016,MTZ82,67.8,2020,5.19,1607.6,1816.5,0,прочее,0,0.0,0.0,0.9279,47.92,0.7997,0.4624,altai,sowing
M_1017,MTZ82,119.4,2020,5.11,1113.4,1242.7,1,электроника,0,71332.58,8.8,0.6278,46.52,0.1012,0.5947,north_caucasus,sowing
M_1018,MTZ82,98.8,2022,3.63,439.1,477.0,1,электроника,0,16696.41,3.9,0.9338,63.78,0.8114,0.2922,kuban,harvest
M_1019,MTZ82,120.2,2018,7.41,221.4,235.0,1,трансмиссия,1,89294.51,102.2,1.0,35.27,0.6897,0.4939,volga,sowing
M_1020,MTZ82,58.4,2024,1.96,440.7,510.8,1,двигатель,1,314619.22,38.2,0.7586,53.26,0.7426,0.2863,vladimir,harvest
M_1021,MTZ82,73.6,2020,5.42,733.0,855.8,1,гидравлика,0,26942.52,49.2,0.8524,56.35,0.3819,0.1072,altai,harvest
M_1022,MTZ82,98.8,2021,4.54,232.7,285.0,1,электроника,0,24638.91,4.7,0.8684,58.18,0.7243,0.4838,central_chernozem,harvest
M_1023,MTZ82,84.7,2019,6.25,1796.4,2187.6,0,прочее,0,0.0,0.0,0.8905,34.89,0.0945,0.2887,vladimir,harvest
M_1024,MTZ82,117.1,2023,2.61,164.2,199.4,1,трансмиссия,1,91885.35,12.9,0.7307,34.14,0.2865,0.4307,amur,harvest
M_1025,MTZ82,76.9,2017,8.84,411.4,464.4,1,гидравлика,1,65003.42,1.7,1.0,57.82,0.3829,0.6426,central_chernozem,sowing
