okpd2_raw,product_name_raw,first_year,last_year,monthly_available,annual_available,national_available,regional_available,n_observations,n_observed_values,n_confidential,n_unavailable,n_structurally_missing
01.11.1,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.11,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12.003.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12.004.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12.005.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12.006.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12.007.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.12.008.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.20,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.31,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.32,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.33,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.42,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.49.110,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.49.120,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.7,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.71,,2026,2026,True,False,False,True,7,0,0,0,7
01.11.73,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.74,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.75,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.79.190,,2025,2025,True,False,False,True,12,0,0,0,12
01.11.81,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.91,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.92,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.93,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.95,,2025,2026,True,False,False,True,19,0,0,0,19
01.11.99.150,,2025,2025,True,False,False,True,12,0,0,0,12
01.12.10,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.01.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.12.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.14,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.19,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.2,,2025,2025,True,False,False,True,12,0,0,0,12
01.13.32.000,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.32.101.АГ,,2025,2025,True,False,False,True,12,0,0,0,12
01.13.32.102.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.34.000,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.34.101.АГ,,2025,2025,True,False,False,True,12,0,0,0,12
01.13.34.102.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.41.110,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.43.110,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.49.110,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.51,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.71.110,,2025,2026,True,False,False,True,19,0,0,0,19
01.13.80,,2025,2026,True,False,False,True,19,0,0,0,19
01.16.19.111,,2025,2026,True,False,False,True,19,0,0,0,19
01.16.19.120,,2025,2026,True,False,False,True,19,0,0,0,19
01.19.10,,2026,2026,True,False,False,True,7,0,0,0,7
01.19.10.004.АГ,,2025,2025,True,False,False,True,12,0,0,0,12
01.21.1,,2025,2026,True,False,False,True,19,0,0,0,19
01.24.10.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.24.23.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.25.1,,2025,2026,True,False,False,True,19,0,0,0,19
01.28.11.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.41.10.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.41.20,,2025,2026,True,False,False,True,19,0,0,0,19
01.41.44.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.43.10.100,,2025,2026,True,False,False,True,19,0,0,0,19
01.45.12.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.45.30,,2025,2026,True,False,False,True,19,0,0,0,19
01.46.10.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.47.1,,2025,2026,True,False,False,True,19,0,0,0,19
01.47.11,,2025,2026,True,False,False,True,19,0,0,0,19
01.47.12,,2025,2026,True,False,False,True,19,0,0,0,19
01.47.13,,2025,2026,True,False,False,True,19,0,0,0,19
01.47.14.100,,2025,2026,True,False,False,True,19,0,0,0,19
01.47.21.000,,2025,2026,True,False,False,True,19,0,0,0,19
01.49.19.001.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.49.19.002.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.49.19.003.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.49.19.005.АГ,,2025,2026,True,False,False,True,19,0,0,0,19
01.49.19.110,,2025,2026,True,False,False,True,19,0,0,0,19
01.49.21.110,,2025,2026,True,False,False,True,19,0,0,0,19
,- Данных не имеется.,2010,2026,True,True,True,True,76,0,0,0,76
,"... Данные  не  размещаются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29 ноября 2007 г. 
№ 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п.5 ст. 4; ч.1 ст. 9).",2021,2023,True,False,True,False,33,0,0,0,33
,"... Данные не размещаются в целях обеспечения конфиденциальности первичных статистических данных, полученных  от организаций, в соответствии с Федеральным законом от 29 ноября 2007 г. № 282-ФЗ «Об официальном  
статистическом  учете и системе государственной статистики в Российской Федерации» (п.5 ст. 4; ч.1 ст. 9).",2025,2025,True,False,False,True,12,0,0,0,12
,"... Данные не размещаются в целях обеспечения конфиденциальности первичных статистических данных, полученных  от организаций, в соответствии с Федеральным законом от 29 ноября 2007 г. № 282-ФЗ «Об официальном  статистическом  учете и системе государственной статистики 
в Российской Федерации» (п.5 ст. 4; ч.1 ст. 9).",2026,2026,True,False,False,True,7,0,0,0,7
,"... Данные не размещаются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций,  в соответствии с Федеральным законом от 29 ноября 2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п.5 ст. 4; ч.1 ст. 9).",2024,2024,True,False,True,False,12,0,0,0,12
,"1 Без учета статистической информации по Донецкой Народной Республике, Луганской Народной Республике, Запорожской и Херсонской областям.",2010,2026,True,True,True,True,76,0,0,0,76
,Алтайский край,2025,2026,True,False,False,True,810,368,292,150,0
,Амурская область,2025,2026,True,False,False,True,487,292,189,6,0
,Архангельская область,2025,2026,True,False,False,True,235,167,36,32,0
,Архангельская область (кроме Ненецкого автономного округа),2025,2026,True,False,False,True,202,112,55,35,0
,Астраханская область,2025,2026,True,False,False,True,355,49,159,147,0
,Белгородская область,2025,2026,True,False,False,True,605,372,155,78,0
,Бобы соевые,2021,2024,True,False,True,False,45,45,0,0,0
,Брянская область,2025,2026,True,False,False,True,663,372,198,93,0
,Виноград,2021,2024,True,False,True,False,45,15,1,24,5
,Владимирская область,2025,2026,True,False,False,True,487,215,225,47,0
,Волгоградская область,2025,2026,True,False,False,True,546,318,158,70,0
,Вологодская область,2025,2026,True,False,False,True,513,152,300,61,0
,Волокно льна-долгунца,2021,2024,True,False,True,False,45,18,6,5,16
,Воронежская область,2025,2026,True,False,False,True,684,396,185,103,0
,Город федерального значения Севастополь,2026,2026,True,False,False,True,63,0,21,42,0
,Горох сушеный,2021,2024,True,False,True,False,45,45,0,0,0
,Гречиха,2010,2024,True,True,True,False,57,57,0,0,0
,Еврейская автономная область,2025,2026,True,False,False,True,133,1,112,20,0
,Забайкальский край,2025,2026,True,False,False,True,449,149,221,79,0
,Зерновые и зернобобовые культуры,2021,2024,True,False,True,False,45,45,0,0,0
,Зерновые культуры,2010,2021,False,True,True,False,24,0,0,0,24
,Ивановская область,2025,2026,True,False,False,True,380,190,131,59,0
,Иркутская область,2025,2026,True,False,False,True,582,335,157,90,0
,Кабардино-Балкарская Республика,2025,2026,True,False,False,True,476,107,193,176,0
,Калининградская область,2025,2026,True,False,False,True,646,304,199,143,0
,Калужская область,2025,2026,True,False,False,True,463,263,144,56,0
,Камчатский край,2025,2026,True,False,False,True,247,159,73,15,0
,Капуста всех сортов,2010,2024,True,True,True,False,57,57,0,0,0
,Карачаево-Черкесская Республика,2025,2026,True,False,False,True,359,8,200,151,0
,Картофель,2010,2024,True,True,True,False,69,69,0,0,0
,Кемеровская область - Кузбасс,2025,2026,True,False,False,True,613,426,132,55,0
,Кировская область,2025,2026,True,False,False,True,418,284,100,34,0
,Корнеплоды свеклы сахарной,2021,2024,True,False,True,False,45,27,3,10,5
,Косточковые плоды,2021,2024,True,False,True,False,45,22,2,17,4
,Костромская область,2025,2026,True,False,False,True,418,131,198,89,0
,Краснодарский край,2025,2026,True,False,False,True,815,495,204,116,0
,Краснодарский край (с учетом ФТ «Сириус»),2026,2026,True,False,False,True,287,180,70,37,0
,Красноярский край,2025,2026,True,False,False,True,615,330,197,88,0
,Крупный рогатый скот,2010,2024,True,True,True,False,57,57,0,0,0
,Кукуруза,2010,2024,True,True,True,False,57,57,0,0,0
,Кукуруза на корм,2024,2024,True,False,True,False,12,10,2,0,0
,Культуры бахчевые,2021,2024,True,False,True,False,45,6,1,33,5
,"Культуры зернобобовые (овощи 
  бобовые сушеные) прочие, 
  не включенные в другие группировки",2023,2023,True,False,True,False,12,12,0,0,0
,"Культуры зернобобовые (овощи 
бобовые сушеные) прочие, 
не включенные в другие группировки",2022,2024,True,False,True,False,21,21,0,0,0
,"Культуры зернобобовые (овощи бобовые сушеные) прочие, не включенные в другие группировки",2021,2021,True,False,True,False,12,12,0,0,0
,Культуры зерновые,2021,2024,True,False,True,False,45,45,0,0,0
,Курганская область,2025,2026,True,False,False,True,665,303,270,92,0
,Курская область,2025,2026,True,False,False,True,611,360,125,126,0
,Ленинградская область,2025,2026,True,False,False,True,487,256,166,65,0
,Липецкая область,2025,2026,True,False,False,True,620,352,212,56,0
