okpd2_raw,product_name_raw,project_crop_code,first_year,last_year,has_monthly,has_annual,has_national,has_regional,n_observations,n_observed,n_confidential,n_unavailable,n_structurally_missing,pct_observed
01.11.1,Пшеница,wheat_total,2010,2026,True,True,True,True,1595,1259,232,104,0,78.93416927899686
01.11.11,Пшеница твердая,wheat_durum,2021,2026,True,True,True,True,573,199,263,111,0,34.72949389179756
01.11.12,"Пшеница, кроме твердой пшеницы",wheat_soft,2021,2026,True,True,True,True,1566,1242,220,104,0,79.3103448275862
01.11.12.001.АГ,"Зерновые и зернобобовые 
культуры",grains_pulses_total,2025,2025,True,False,True,True,960,789,118,53,0,82.1875
01.11.12.001.АГ,Зерновые и зернобобовые культуры,grains_pulses_total,2021,2026,True,True,True,True,685,602,55,28,0,87.88321167883211
01.11.12.003.АГ,Культуры зерновые,grains_crops,2021,2026,True,True,True,True,1645,1391,173,81,0,84.55927051671732
01.11.12.004.АГ,Пшеница мягкая 1 класса,wheat_soft_1class,2025,2026,True,True,True,True,167,5,89,73,0,2.9940119760479043
01.11.12.004.АГ,пшеница мягкая 1 класса,wheat_soft_1class,2021,2024,True,False,True,False,45,10,9,7,19,22.22222222222222
01.11.12.005.АГ,Пшеница мягкая 2 класса,wheat_soft_2class,2025,2026,True,True,True,True,154,20,112,22,0,12.987012987012987
01.11.12.005.АГ,пшеница мягкая 2 класса,wheat_soft_2class,2021,2024,True,False,True,False,45,6,10,4,25,13.333333333333334
01.11.12.006.АГ,Пшеница мягкая 3 класса,wheat_soft_3class,2025,2026,True,True,True,True,1321,893,304,124,0,67.60030280090841
01.11.12.006.АГ,пшеница мягкая 3 класса,wheat_soft_3class,2021,2024,True,False,True,False,45,45,0,0,0,100.0
01.11.12.007.АГ,пшеница мягкая 4 класса,wheat_soft_4class,2021,2024,True,False,True,False,45,45,0,0,0,100.0
01.11.12.007.АГ,Пшеница мягкая 4 класса,wheat_soft_4class,2025,2026,True,True,True,True,1260,793,356,111,0,62.93650793650794
01.11.12.008.АГ,Пшеница мягкая 5 класса,wheat_soft_5class,2025,2026,True,True,True,True,1347,969,301,77,0,71.93763919821826
01.11.12.008.АГ,пшеница мягкая 5 класса,wheat_soft_5class,2021,2024,True,False,True,False,45,45,0,0,0,100.0
