region,coverage,n_years,z_mean,z_std,year_min,year_max
Алтайский край,0.5610488766506038,15,5.181062703373386,0.20560142174399942,2011,2025
Белгородская область,0.5771523759424864,15,5.300325129118434,0.20672738207542316,2011,2025
Владимирская область,0.7350365715463065,15,6.832914615596054,0.2723037380226059,2011,2025
Воронежская область,0.6727150160103363,15,6.21712588841916,0.24522014110558285,2011,2025
Краснодарский край,0.6981536099551531,15,6.4220366352250915,0.25104379727825277,2011,2025
Курская область,0.6844971172325433,15,6.268899020327609,0.24445392661812163,2011,2025
Липецкая область,0.7104683459438751,15,6.530537611253303,0.2562070430678401,2011,2025
Ростовская область,0.785247337916161,15,7.23788755013996,0.28564505609248436,2011,2025
Самарская область,0.7196024674434542,15,6.745566451338953,0.27222747637183026,2011,2025
Саратовская область,0.7556836375280178,15,7.115189181196473,0.2890083014323149,2011,2025
Ставропольский край,0.8137764810351387,15,7.466411883754208,0.29331910541149014,2011,2025
