rep_id,success,n_obs,event_rate,n_events,f_stat_naive,f_stat_cluster,n_clusters,gamma_hat,gamma_se,lambda_hat,gamma_ci_lo,gamma_ci_hi,gamma_covers_true,elapsed_sec
0,True,40000,0.029825,1193,37572.35399878047,45086.38349684801,32,0.5491236826438847,0.029848412089652714,0.335659359696207,0.49062079494816535,0.607626570339604,True,43.43
1,True,40000,0.028275,1131,37590.475078483054,79875.82825423098,32,0.45104059301232136,0.030945376669525102,0.4270789143378694,0.39038765474005216,0.5116935312845905,True,44.01
2,True,40000,0.02815,1126,37399.770321679374,25491.41830368329,32,0.45596967223480556,0.030617528121616548,0.39844770349873626,0.3959593171164371,0.5159800273531739,True,41.89
3,True,40000,0.029975,1199,37291.54314758317,64444.027604190866,32,0.5095376035443031,0.029739322686371868,0.33926992184934995,0.45124853107901425,0.567826676009592,True,41.52
4,True,40000,0.02925,1170,37531.045924027865,40487.44173187629,32,0.5035441981403531,0.03014529660921049,0.3184573507109108,0.4444594167863006,0.5626289794944057,True,41.71
5,True,40000,0.030025,1201,37046.87552631076,42474.67793671231,32,0.4828848493501857,0.029845908333800318,0.33738341422347884,0.4243868690159371,0.5413828296844343,True,41.12
6,True,40000,0.030775,1231,37306.681900251766,47198.52061201577,32,0.46376020690696634,0.030282760007636692,0.3851641657682394,0.40440599729199844,0.5231144165219342,True,44.5
7,True,40000,0.0294,1176,37332.570684256985,36671.38011495141,32,0.5669983370376199,0.030925434106565362,0.2874453645298131,0.5063844861887519,0.627612187886488,False,40.81
8,True,40000,0.029375,1175,37395.35344384061,51708.90166441145,32,0.5111469547431019,0.02991587268293747,0.33325682862641987,0.45251184428454444,0.5697820652016593,True,42.28
9,True,40000,0.030775,1231,37661.55566096475,59732.90680743643,32,0.47310564254539034,0.029462120253241682,0.33106574042408476,0.41535988684903663,0.530851398241744,True,41.87
10,True,40000,0.03025,1210,37317.42289343698,30534.079818229973,32,0.4515200624449831,0.029436590619939248,0.4243592779257482,0.3938243448299022,0.5092157800600641,True,44.56
11,True,40000,0.0302,1208,37185.14076793904,26744.977018060294,32,0.49056530379264124,0.029730496425251458,0.3520587791976062,0.4322935307991484,0.5488370767861341,True,41.75
12,True,40000,0.029025,1161,37389.648752459536,46266.10083273112,32,0.4496262544312639,0.030831521439855715,0.445093056217419,0.38919647240914673,0.5100560364533812,True,41.58
13,True,40000,0.0318,1272,38294.90333469866,41020.03869576434,32,0.47861712552461977,0.02883736125559593,0.38707968287844374,0.4220958974636517,0.5351383535855878,True,41.48
14,True,40000,0.029225,1169,37543.61655133193,42891.090332235384,32,0.4573725798592682,0.029335640080133552,0.38734181861657635,0.39987472530220647,0.51487043441633,True,41.39
15,True,40000,0.02975,1190,37877.46822190994,42870.10955153265,32,0.513862133486288,0.03044836725867716,0.3313768342236957,0.4541833336592807,0.5735409333132951,True,46.94
16,True,40000,0.029975,1199,37494.47652626779,61426.47540922821,32,0.4789728999865969,0.030111318227497623,0.3082347162792575,0.4199547162607016,0.5379910837124923,True,41.75
17,True,40000,0.0299,1196,38500.945858239684,68416.47768398859,32,0.5551935226355548,0.02925800143009466,0.29612795434913536,0.49784783983256925,0.6125392054385403,True,41.81
18,True,40000,0.03245,1298,37496.27554570164,56493.23502751102,32,0.5042012513607136,0.029746605962818834,0.3617571655462413,0.44589790367358867,0.5625045990478384,True,41.33
19,True,40000,0.02945,1178,37337.148906996765,21370.13646911012,32,0.49352290816592287,0.03127129782226337,0.3706922310035679,0.43223116443428666,0.5548146518975591,True,41.44
20,True,40000,0.030425,1217,37310.760258300135,42176.30619984184,32,0.4949791811642451,0.029340468792392483,0.400119472011699,0.43747186233115587,0.5524864999973343,True,41.52
21,True,40000,0.0296,1184,37136.89879382928,65754.05222538559,32,0.4652767056449702,0.0302111399607605,0.39858264669344007,0.4060628713218796,0.5244905399680608,True,41.23
22,True,40000,0.029725,1189,37483.84208025265,62528.44521208715,32,0.49942193272722796,0.030373969203907912,0.3719197112734957,0.4398889530875685,0.5589549123668874,True,45.06
23,True,40000,0.029,1160,37137.27008672315,43433.53782389874,32,0.43943878098189304,0.030297108656684203,0.39589337141060177,0.380056448014792,0.4988211139489941,False,41.7
24,True,40000,0.03035,1214,37606.75991216449,43765.29573796574,32,0.5081857619332703,0.029540658464456086,0.2889488599541197,0.4502860713429363,0.5660854525236042,True,41.55
25,True,40000,0.028825,1153,37342.03967180634,43541.16658238299,32,0.46852609190408656,0.0305668003870394,0.374614372431116,0.40861516314548935,0.5284370206626838,True,42.04
26,True,40000,0.03225,1290,37354.148428087305,32093.32963048365,32,0.4738266413023853,0.029319405154745903,0.3415572469060589,0.4163606071990833,0.5312926754056873,True,43.14
27,True,40000,0.03025,1210,37144.46990089849,26533.19480497119,32,0.526477339280769,0.030058042747684352,0.33959370334144456,0.4675635754953077,0.5853911030662303,True,43.84
28,True,40000,0.030075,1203,36751.499501918566,52926.89872526281,32,0.4763226300017143,0.030252303226221355,0.35288901167838804,0.4170281156783205,0.5356171443251082,True,42.16
29,True,40000,0.03095,1238,36758.90918446812,121221.43091481672,32,0.5256243940161103,0.030170308531286726,0.30278203100042134,0.4664905892947883,0.5847581987374323,True,41.55
30,True,40000,0.0302,1208,37150.99141800323,52000.65268477812,32,0.4766191405791104,0.02975661843937097,0.3433048382452813,0.4182961684379433,0.5349421127202775,True,41.6
31,True,40000,0.029775,1191,37876.35416557867,36407.30698252119,32,0.5010438031945913,0.03043089327541897,0.3132668608913884,0.4413992523747701,0.5606883540144125,True,41.75
32,True,40000,0.02845,1138,37046.69996681506,42127.87243925533,32,0.432041761741767,0.030668182785037745,0.356562366841747,0.371932123483093,0.492151400000441,False,42.07
33,True,40000,0.0293,1172,37997.61311131888,97184.85432561477,32,0.4771154856696378,0.03109483427397701,0.3874257960254287,0.41616961049264284,0.5380613608466327,True,41.74
34,True,40000,0.03045,1218,37497.52263254906,38827.21757394871,32,0.44221363873635583,0.03051425467413747,0.40787912610823207,0.3824056995750464,0.5020215778976652,True,41.67
35,True,40000,0.028525,1141,37321.479119284304,42103.966397688026,32,0.49465317802825065,0.03153399013168059,0.34409997759887273,0.4328465573701567,0.5564597986863447,True,42.36
