okpd2_raw,product_name_raw
01.11.1,Пшеница
01.11.11,Пшеница твердая
01.11.12,"Пшеница, кроме твердой пшеницы"
01.11.12.001.АГ,Зерновые и зернобобовые культуры
01.11.12.003.АГ,Культуры зерновые
01.11.12.004.АГ,Пшеница мягкая 1 класса
01.11.12.004.АГ,пшеница мягкая 1 класса
01.11.12.005.АГ,Пшеница мягкая 2 класса
01.11.12.005.АГ,пшеница мягкая 2 класса
01.11.12.006.АГ,Пшеница мягкая 3 класса
01.11.12.006.АГ,пшеница мягкая 3 класса
01.11.12.007.АГ,Пшеница мягкая 4 класса
01.11.12.007.АГ,пшеница мягкая 4 класса
01.11.12.008.АГ,Пшеница мягкая 5 класса
01.11.12.008.АГ,пшеница мягкая 5 класса
01.11.20,Кукуруза
01.11.31,Ячмень
01.11.32,Рожь
01.11.33,Овес
01.11.42,Просо
01.11.49.110,Гречиха
01.11.49.120,Тритикале
01.11.49.120,Тритикале (пшенично-ржаной гибрид)
01.11.7,Овощи бобовые сушеные (культуры зернобобовые)
01.11.73,Нут (бараний горох) сушеный
01.11.74,Чечевица сушеная
01.11.75,Горох сушеный
01.11.79.190,"Культуры зернобобовые (овощи бобовые сушеные) прочие, не включенные в другие группировки"
01.11.81,Бобы соевые
01.11.91,Семена льна
01.11.92,Семена горчицы
01.11.93,Семена рапса
01.11.95,Семена подсолнечника
01.12.10,Рис нешелушеный
01.13.01.001.АГ,Овощи
01.13.12.001.АГ,Капуста всех сортов
01.13.14,Салат-латук
01.13.19,Овощи листовые или стебельные прочие
01.13.2,Культуры бахчевые
01.13.32.000,Огурцы
01.13.32.101.АГ,Огурцы открытого грунта
01.13.32.102.АГ,Огурцы закрытого грунта
01.13.34.000,Томаты (помидоры)
01.13.34.101.АГ,Томаты (помидоры) открытого грунта
01.13.34.102.АГ,Томаты (помидоры) закрытого грунта
01.13.41.110,Морковь столовая
01.13.42,Чеснок
01.13.43.110,Лук репчатый
01.13.49.110,Свекла столовая
01.13.51,Картофель
01.13.71.110,Корнеплоды свеклы сахарной
01.13.80,Грибы и трюфели
01.16.19.111,Волокно льна-долгунца
01.19.10,Культуры кормовые
01.19.10.004.АГ,Кукуруза на корм
01.21.1,Виноград
01.24.10.001.АГ,Семечковые плоды
01.24.23.001.АГ,Косточковые плоды
01.25.1,Ягоды и плоды растений вида Vaccinium
01.28.11.001.АГ,"Пряности необработанные, кроме семян"
01.41.10.001.АГ,Крупный рогатый скот
01.41.20,Молоко сырое крупного рогатого скота
01.41.44.001.АГ,Скот и птица (в живом весе)
01.43.10.100,Лошади живые
01.45.12.001.АГ,Овцы и козы
01.45.30,"Шерсть стриженая немытая овец и коз, включая стриженую шерсть, промытую руном"
01.46.10.001.АГ,Свиньи
01.47.1,Птица сельскохозяйственная живая
01.47.11,Куры живые
01.47.12,Индейки живые
01.47.14.100,Утки живые
01.47.21.000,Яйца куриные в скорлупе свежие
01.49.19.001.АГ,Шкурки невыделанные лисицы клеточного разведения
01.49.19.002.АГ,Шкурки невыделанные песца клеточного разведения
01.49.19.003.АГ,Шкурки невыделанные норки клеточного разведения
01.49.19.005.АГ,Шкурки невыделанные соболя клеточного разведения
01.49.19.110,Олени северные
01.49.21.110,Мед натуральный пчелиный
10605,Семена подсолнечника
11029,капуста всех сортов
11309,морковь столовая
12370,Молоко сырое крупного рогатого скота
2341,Яйца куриные в скорлупе свежие
3395,ячмень
3411,рожь
3596,овес
3832,просо
3867,пшеница
45174,овцы и козы
4681,кукуруза
52599,томаты (помидоры)
52966,птица сельскохозяйственная живая
5581,овощи бобовые сушеные (культуры зернобобовые)
55951,крупный рогатый скот
58163,огурцы
69748,свиньи
8153,гречиха
8298,свекла столовая
9501,Картофель
9719,лук репчатый
,- Данных не имеется.
,"1 Без учета статистической информации по Донецкой Народной Республике, Луганской Народной Республике, Запорожской и Херсонской областям."
,Зерновые культуры
,Овощи
,Скот и птица (в живом весе)
