region,total_area_ha,coverage_4crops,coverage_6crops,n_crops_4,n_crops_6,crops_4,crops_6
Амурская область,766100.0,0.1878344863594829,0.9163294609058867,3,5,"barley_total, maize_grain, wheat_total","barley_total, maize_grain, rapeseed_total, soybean, wheat_total"
Ставропольский край,2364900.0,0.8137764810351387,0.8357647257812167,4,6,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, rapeseed_total, soybean, sunflower_grain, wheat_total"
Липецкая область,1044099.9999999999,0.7104683459438751,0.7952303419212718,4,6,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, rapeseed_total, soybean, sunflower_grain, wheat_total"
Курская область,1248800.0,0.6844971172325433,0.789718129404228,4,6,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, rapeseed_total, soybean, sunflower_grain, wheat_total"
Ростовская область,2967600.0,0.785247337916161,0.7891225232511117,4,6,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, rapeseed_total, soybean, sunflower_grain, wheat_total"
Саратовская область,1873800.0,0.7556836375280178,0.7642758031807021,4,5,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, soybean, sunflower_grain, wheat_total"
Краснодарский край,2475100.0,0.6981536099551531,0.7514443860854103,4,6,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, rapeseed_total, soybean, sunflower_grain, wheat_total"
Белгородская область,1140600.0,0.5771523759424864,0.7448711204629141,4,5,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, soybean, sunflower_grain, wheat_total"
Владимирская область,1941400.0,0.7350365715463065,0.7401359843411968,4,5,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, soybean, sunflower_grain, wheat_total"
Самарская область,1459000.0,0.7196024674434542,0.7344071281699792,4,5,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, soybean, sunflower_grain, wheat_total"
Воронежская область,1780100.0,0.6727150160103363,0.7115330599404526,4,6,"barley_total, maize_grain, sunflower_grain, wheat_total","barley_total, maize_grain, rapeseed_total, soybean, sunflower_grain, wheat_total"
Алтайский край,3195800.0,0.5610488766506038,0.5794167344639837,3,5,"barley_total, sunflower_grain, wheat_total","barley_total, rapeseed_total, soybean, sunflower_grain, wheat_total"
Ленинградская область,205400.0,0.16747809152872428,0.16747809152872428,2,2,"barley_total, wheat_total","barley_total, wheat_total"
Псковская область,211200.0,0.1368371212121211,0.146306818181818,2,3,"barley_total, wheat_total","barley_total, rapeseed_total, wheat_total"
Волгоградская область,154700.0,0.1118293471234646,0.1221719457013572,2,3,"barley_total, wheat_total","barley_total, rapeseed_total, wheat_total"
Тверская область,455100.0,0.040650406504065,0.040870138431114,2,3,"barley_total, wheat_total","barley_total, rapeseed_total, wheat_total"
