region_code,year,campaign,working_days_window,total_window_days,working_days_fraction,mean_precipitation_mm,mean_temperature_c,missing_weather_days,source
volga,2022,sowing,57,62,0.9193548387096774,1.6485483870967743,12.77548387096774,0,nasa_power
volga,2022,harvest,66,76,0.868421052631579,1.7484210526315793,16.963947368421053,0,nasa_power
volga,2023,sowing,51,62,0.8225806451612904,1.925322580645161,14.670806451612902,0,nasa_power
volga,2023,harvest,68,76,0.8947368421052632,0.9234210526315788,16.80605263157895,0,nasa_power
volga,2024,sowing,54,62,0.8709677419354839,1.2654838709677418,15.591129032258065,0,nasa_power
volga,2024,harvest,70,76,0.9210526315789473,0.5277631578947368,17.44421052631579,0,nasa_power
volga,2025,sowing,53,62,0.8548387096774194,1.7025806451612902,16.471612903225807,0,nasa_power
volga,2025,harvest,70,76,0.9210526315789473,0.8653947368421052,16.631710526315793,0,nasa_power
north_caucasus,2022,sowing,55,62,0.8870967741935484,1.764516129032258,15.735967741935484,0,nasa_power
north_caucasus,2022,harvest,66,76,0.868421052631579,2.2461842105263155,21.144868421052628,0,nasa_power
north_caucasus,2023,sowing,49,62,0.7903225806451613,3.454032258064516,15.515645161290323,0,nasa_power
north_caucasus,2023,harvest,73,76,0.9605263157894737,1.0192105263157893,21.481184210526315,0,nasa_power
north_caucasus,2024,sowing,58,62,0.9354838709677419,1.466451612903226,17.854032258064517,0,nasa_power
north_caucasus,2024,harvest,67,76,0.881578947368421,2.2926315789473684,22.00315789473684,0,nasa_power
north_caucasus,2025,sowing,49,62,0.7903225806451613,2.442419354838709,15.904354838709677,0,nasa_power
north_caucasus,2025,harvest,60,76,0.7894736842105263,2.438947368421053,20.133684210526315,0,nasa_power
northwest,2022,sowing,44,62,0.7096774193548387,2.3430645161290324,9.225645161290323,0,nasa_power
northwest,2022,harvest,64,76,0.8421052631578947,2.909868421052631,12.552763157894736,0,nasa_power
northwest,2023,sowing,51,62,0.8225806451612904,0.8806451612903226,10.141129032258066,0,nasa_power
northwest,2023,harvest,61,76,0.8026315789473685,2.9143421052631577,14.856973684210525,0,nasa_power
northwest,2024,sowing,46,62,0.7419354838709677,2.036935483870968,11.284032258064515,0,nasa_power
northwest,2024,harvest,59,76,0.7763157894736842,2.5765789473684215,14.466842105263161,0,nasa_power
northwest,2025,sowing,35,62,0.5645161290322581,4.235322580645161,10.5908064516129,0,nasa_power
northwest,2025,harvest,59,76,0.7763157894736842,2.281315789473684,12.523552631578946,0,nasa_power
central_chernozem,2022,sowing,53,62,0.8548387096774194,2.215483870967742,12.539032258064518,0,nasa_power
central_chernozem,2022,harvest,61,76,0.8026315789473685,2.9492105263157895,16.17763157894737,0,nasa_power
central_chernozem,2023,sowing,52,62,0.8387096774193549,1.73,12.56,0,nasa_power
central_chernozem,2023,harvest,70,76,0.9210526315789473,0.7774999999999999,16.735000000000003,0,nasa_power
central_chernozem,2024,sowing,57,62,0.9193548387096774,1.2270967741935483,14.656290322580647,0,nasa_power
central_chernozem,2024,harvest,73,76,0.9605263157894737,0.6664473684210526,19.07986842105263,0,nasa_power
central_chernozem,2025,sowing,56,62,0.9032258064516129,1.365967741935484,15.41516129032258,0,nasa_power
central_chernozem,2025,harvest,68,76,0.8947368421052632,1.4239473684210526,15.661973684210526,0,nasa_power
kuban,2022,sowing,57,62,0.9193548387096774,1.247741935483871,16.313387096774196,0,nasa_power
